#1	
double load(8760,3) # P(kW) & Q (kvar)	
525600, 0.744498216, 0.2977992864
529200, 0.69561702, 0.278246808
532800, 0.699377112, 0.2797508448
536400, 0.711910752, 0.2847643008
540000, 0.747004944, 0.2988019776
543600, 0.86482116, 0.345928464
547200, 1.12176078, 0.448704312
550800, 1.381207128, 0.5524828512
554400, 1.5980391, 0.63921564
558000, 1.715855316, 0.6863421264
561600, 1.755962964, 0.7023851856
565200, 1.514063712, 0.6056254848
568800, 1.392487404, 0.5569949616
572400, 1.253364, 0.5013456
576000, 1.23456354, 0.493825416
579600, 1.415047956, 0.5660191824
583200, 1.690788036, 0.6763152144
586800, 1.88631282, 0.754525128
590400, 1.86751236, 0.747004944
594000, 1.656947208, 0.6627788832
597600, 1.318538928, 0.5274155712
601200, 1.047812304, 0.4191249216
604800, 0.846195012, 0.3384780048
608400, 0.742530096, 0.2970120384
612000, 0.66900033, 0.267600132
615600, 0.655740864, 0.2622963456
619200, 0.683465202, 0.2733860808
622800, 0.718421976, 0.2873687904
626400, 0.91008153, 0.364032612
630000, 1.230719526, 0.4922878104
633600, 1.435638546, 0.5742554184
637200, 1.365724998, 0.5462899992
640800, 1.364519592, 0.5458078368
644400, 1.376573652, 0.5506294608
648000, 1.430816922, 0.5723267688
651600, 1.252416834, 0.5009667336
655200, 1.148751918, 0.4595007672
658800, 1.058346468, 0.4233385872
662400, 1.100535678, 0.4402142712
666000, 1.305454698, 0.5221818792
669600, 1.71167652, 0.684670608
673200, 1.973249622, 0.7892998488
676800, 1.920211758, 0.7680847032
680400, 1.703238678, 0.6812954712
684000, 1.312687134, 0.5250748536
687600, 1.01254104, 0.405016416
691200, 0.840361665, 0.336144666
694800, 0.735757206, 0.2943028824
698400, 0.689919297, 0.2759677188
702000, 0.667588008, 0.2670352032
705600, 0.694620621, 0.2778482484
709200, 0.734581875, 0.29383275
712800, 0.920284173, 0.3681136692
716400, 1.263480825, 0.50539233
720000, 1.384539918, 0.5538159672
723600, 1.28111079, 0.512444316
727200, 1.221168909, 0.4884675636
730800, 1.272883473, 0.5091533892
734400, 1.37513727, 0.550054908
738000, 1.196486958, 0.4785947832
741600, 1.110687795, 0.444275118
745200, 0.997856019, 0.3991424076
748800, 1.055447238, 0.4221788952
752400, 1.286987445, 0.514794978
756000, 1.647814062, 0.6591256248
759600, 1.943997474, 0.7775989896
763200, 1.887581586, 0.7550326344
766800, 1.690125978, 0.6760503912
770400, 1.346929326, 0.5387717304
774000, 1.017836646, 0.4071346584
777600, 0.841118352, 0.3364473408
781200, 0.733615866, 0.2934463464
784800, 0.686362026, 0.2745448104
788400, 0.66155376, 0.264621504
792000, 0.682817988, 0.2731271952
795600, 0.718258368, 0.2873033472
799200, 0.895460268, 0.3581841072
802800, 1.207335612, 0.4829342448
806400, 1.327832904, 0.5311331616
810000, 1.304205984, 0.5216823936
813600, 1.212060996, 0.4848243984
817200, 1.280579064, 0.5122316256
820800, 1.391625588, 0.5566502352
824400, 1.253408106, 0.5013632424
828000, 1.14590562, 0.458362248
831600, 1.049035248, 0.4196140992
835200, 1.067936784, 0.4271747136
838800, 1.282941756, 0.5131767024
842400, 1.649159016, 0.6596636064
846000, 1.956308976, 0.7825235904
849600, 1.892516292, 0.7570065168
853200, 1.704682278, 0.6818729112
856800, 1.351459824, 0.5405839296
860400, 1.049035248, 0.4196140992
864000, 0.8538894, 0.34155576
867600, 0.7459803, 0.29839212
871200, 0.68264235, 0.27305694
874800, 0.6709131, 0.26836524
878400, 0.697890375, 0.27915615
882000, 0.735423975, 0.29416959
885600, 0.937167075, 0.37486683
889200, 1.291390425, 0.51655617
892800, 1.3840515, 0.5536206
896400, 1.244473425, 0.49778937
900000, 1.185827175, 0.47433087
903600, 1.25502975, 0.5020119
907200, 1.3089843, 0.52359372
910800, 1.206939825, 0.48277593
914400, 1.106068275, 0.44242731
918000, 0.988775775, 0.39551031
921600, 1.0227906, 0.40911624
925200, 1.25972145, 0.50388858
928800, 1.6702452, 0.66809808
932400, 1.9470555, 0.7788222
936000, 1.908348975, 0.76333959
939600, 1.6702452, 0.66809808
943200, 1.338307425, 0.53532297
946800, 1.02982815, 0.41193126
950400, 0.846912, 0.3387648
954000, 0.739845, 0.295938
957600, 0.698943, 0.2795772
961200, 0.682101, 0.2728404
964800, 0.713379, 0.2853516
968400, 0.755484, 0.3021936
972000, 0.928716, 0.3714864
975600, 1.290819, 0.5163276
979200, 1.412322, 0.5649288
982800, 1.330518, 0.5322072
986400, 1.270368, 0.5081472
990000, 1.28721, 0.514884
993600, 1.336533, 0.5346132
997200, 1.249917, 0.4999668
1000800, 1.184955, 0.473982
1004400, 1.0827, 0.43308
1008000, 1.129617, 0.4518468
1011600, 1.29924, 0.519696
1015200, 1.652922, 0.6611688
1018800, 1.934424, 0.7737696
1022400, 1.871868, 0.7487472
1026000, 1.675779, 0.6703116
1029600, 1.352172, 0.5408688
1033200, 1.11879, 0.447516
1036800, 0.88001856, 0.352007424
1040400, 0.772460736, 0.3089842944
1044000, 0.699125856, 0.2796503424
1047600, 0.67834764, 0.271339056
1051200, 0.693014616, 0.2772058464
1054800, 0.723570816, 0.2894283264
1058400, 0.789572208, 0.3158288832
1062000, 0.988798632, 0.3955194528
1065600, 1.315138848, 0.5260555392
1069200, 1.415363184, 0.5661452736
1072800, 1.377473496, 0.5509893984
1076400, 1.452030624, 0.5808122496
1080000, 1.55225496, 0.620901984
1083600, 1.46058636, 0.584234544
1087200, 1.372584504, 0.5490338016
1090800, 1.225914744, 0.4903658976
1094400, 1.205136528, 0.4820546112
1098000, 1.355473032, 0.5421892128
1101600, 1.651257048, 0.6605028192
1105200, 1.84559448, 0.738237792
1108800, 1.797926808, 0.7191707232
1112400, 1.584033408, 0.6336133632
1116000, 1.346917296, 0.5387669184
1119600, 1.131801648, 0.4527206592
1123200, 0.948079488, 0.3792317952
1126800, 0.839655504, 0.3358622016
1130400, 0.753924912, 0.3015699648
1134000, 0.70601664, 0.282406656
1137600, 0.709798872, 0.2839195488
1141200, 0.71862408, 0.287449632
1144800, 0.7564464, 0.30257856
1148400, 0.871174104, 0.3484696416
1152000, 1.135930344, 0.4543721376
1155600, 1.391861376, 0.5567445504
1159200, 1.60114488, 0.640457952
1162800, 1.722176304, 0.6888705216
1166400, 1.763780856, 0.7055123424
1170000, 1.520457264, 0.6081829056
1173600, 1.394382864, 0.5577531456
1177200, 1.258222512, 0.5032890048
1180800, 1.230486144, 0.4921944576
1184400, 1.410772536, 0.5643090144
1188000, 1.705786632, 0.6823146528
1191600, 1.891116, 0.7564464
1195200, 1.875987072, 0.7503948288
1198800, 1.6704858, 0.66819432
1202400, 1.3237812, 0.52951248
1206000, 1.062807192, 0.4251228768
1209600, 0.845647506, 0.3382590024
1213200, 0.740241018, 0.2960964072
1216800, 0.671966361, 0.2687865444
1220400, 0.656394948, 0.2625579792
1224000, 0.680350968, 0.2721403872
1227600, 0.717482799, 0.2869931196
1231200, 0.903141954, 0.3612567816
1234800, 1.220559219, 0.4882236876
1238400, 1.424185389, 0.5696741556
1242000, 1.361899737, 0.5447598948
1245600, 1.367888742, 0.5471554968
1249200, 1.358306334, 0.5433225336
1252800, 1.415800782, 0.5663203128
1256400, 1.243317438, 0.4973269752
1260000, 1.143899955, 0.457559982
1263600, 1.050471477, 0.4201885908
1267200, 1.092394512, 0.4369578048
1270800, 1.29362508, 0.517450032
1274400, 1.699679619, 0.6798718476
1278000, 1.966789242, 0.7867156968
